country,year,co2,co2_per_capita,coal_co2,oil_co2,gas_co2,population,Code,gdp_per_capita,renewable_energy_consumption,co2_intensity_gdp,co2_growth,gdp_growth,renewable_growth,renewable_share
Mexico,2007,473.595,4.354,45.84,286.649,117.274,108774308,MEX,21355.223,4.845502,0.02217701027987392,-0.0019472349895367502,0.006507945014086136,-0.06414034300521831,0.010127700267315578
Mexico,2008,472.981,4.285,40.784,288.397,118.567,110374235,MEX,21244.197,6.04278,0.022264009319815665,-0.0012964663900590923,-0.005199009160428925,0.24709060072619926,0.01261478083614137
Mexico,2009,460.294,4.11,40.813,272.741,123.433,111999662,MEX,19617.918,4.5587587,0.023462938319958312,-0.026823487624238584,-0.07655168138386204,-0.2455858561787786,0.009806887481423051
Mexico,2010,456.409,4.017,51.054,259.679,124.122,113623858,MEX,20298.826,5.9526296,0.022484502305699844,-0.0084402577483087,0.03470847416122336,0.30575667450878674,0.01287440224040598
Mexico,2011,483.302,4.194,56.041,272.512,130.707,115243459,MEX,20702.826,5.6022654,0.023344735641404706,0.05892302737237887,0.019902628851540483,-0.058858726906172665,0.011458818825023897
Mexico,2012,501.489,4.293,49.223,290.158,135.727,116818153,MEX,21149.451,5.1935306,0.023711679324442035,0.037630715370513546,0.021573141753691072,-0.07295884268531805,0.010250068408417317
Mexico,2013,495.415,4.186,49.977,277.695,142.277,118343517,MEX,21054.742,4.8340197,0.023529853749810852,-0.012111930670463233,-0.004478083142678391,-0.06922283272962715,0.009663226732356152
Mexico,2014,484.045,4.041,48.944,269.275,138.503,119784217,MEX,21322.33,6.426185,0.022701318289323914,-0.022950455678572568,0.012709155970659802,0.3293667379965375,0.013102064293542546
Mexico,2015,479.434,3.96,44.114,258.874,147.977,121072270,MEX,21665.557,5.8616557,0.022128856414815462,-0.009525973824747624,0.016097068190952912,-0.08784828012265444,0.012078524979880632
Mexico,2016,478.828,3.917,47.621,251.592,151.455,122251299,MEX,21836.922,5.731222,0.02192744929894424,-0.001263990455412145,0.007909558937256866,-0.022252023434266244,0.011827701836618848
Mexico,2017,464.406,3.763,48.53,245.84,143.251,123400004,MEX,22038.57,5.7701097,0.021072419853012243,-0.03011937480681992,0.009234268455966532,0.00678523707509493,0.012272230725805421
Mexico,2018,468.413,3.76,47.313,228.842,165.521,124573671,MEX,22261.46,6.3425817,0.02104143214326464,0.008628226164175246,0.010113632599574318,0.09921336504226264,0.013359677999547783
